"","pointid","grid_code","POINT_X","POINT_Y","year","effort","obs"
"1",1391,0.00896289,-1599566.79481,1952682.2555,2017,1,0
"2",1391,0.00896289,-1599566.79481,1952682.2555,2018,2,0
"3",1391,0.00896289,-1599566.79481,1952682.2555,2019,1,0
"4",1391,0.00896289,-1599566.79481,1952682.2555,2021,2,0
"5",1401,0.378897,-1589566.79481,1952682.2555,2019,1,0
"6",1401,0.378897,-1589566.79481,1952682.2555,2020,1,0
"7",1401,0.378897,-1589566.79481,1952682.2555,2021,1,0
"8",2616,0.0821041,-1562566.79481,1945682.2555,2021,1,0
"9",3525,0.0393932,-1577566.79481,1940682.2555,2019,1,0
"10",3890,0.0640126,-1605566.79481,1938682.2555,2021,1,0
"11",3985,0.227475,-1510566.79481,1938682.2555,2019,1,0
"12",4315,0.113493,-1584566.79481,1936682.2555,2020,1,0
"13",4330,0.0595994,-1569566.79481,1936682.2555,2020,1,0
"14",4724,0.0085385,-1575566.79481,1934682.2555,2021,1,0
"15",5128,0.37417,-1569566.79481,1932682.2555,2018,1,0
"16",5959,0.275471,-1557566.79481,1928682.2555,2021,1,0
"17",6173,0.426298,-1557566.79481,1927682.2555,2021,1,0
"18",6186,0.00734239,-1544566.79481,1927682.2555,2019,2,0
"19",6192,0.00943282,-1538566.79481,1927682.2555,2019,1,0
"20",6401,0.427274,-1555566.79481,1926682.2555,2018,3,0
"21",6401,0.427274,-1555566.79481,1926682.2555,2019,2,0
"22",6401,0.427274,-1555566.79481,1926682.2555,2021,1,0
"23",6402,0.236379,-1554566.79481,1926682.2555,2017,2,0
"24",6402,0.236379,-1554566.79481,1926682.2555,2018,2,0
"25",6402,0.236379,-1554566.79481,1926682.2555,2021,2,0
"26",6412,0.00995517,-1544566.79481,1926682.2555,2017,1,0
"27",6633,0.140943,-1551566.79481,1925682.2555,2017,10,0
"28",6633,0.140943,-1551566.79481,1925682.2555,2018,13,0
"29",6633,0.140943,-1551566.79481,1925682.2555,2019,15,0
"30",6633,0.140943,-1551566.79481,1925682.2555,2020,17,0
"31",6633,0.140943,-1551566.79481,1925682.2555,2021,17,0
"32",6635,0.0465614,-1549566.79481,1925682.2555,2017,1,0
"33",6866,0.0955625,-1553566.79481,1924682.2555,2017,4,0
"34",6866,0.0955625,-1553566.79481,1924682.2555,2018,1,0
"35",6866,0.0955625,-1553566.79481,1924682.2555,2019,2,0
"36",6866,0.0955625,-1553566.79481,1924682.2555,2021,1,0
"37",6869,0.0569129,-1550566.79481,1924682.2555,2020,1,0
"38",6872,0.0479293,-1547566.79481,1924682.2555,2019,1,0
"39",6874,0.0349879,-1545566.79481,1924682.2555,2017,3,0
"40",6874,0.0349879,-1545566.79481,1924682.2555,2019,1,0
"41",6874,0.0349879,-1545566.79481,1924682.2555,2021,1,0
"42",7118,0.0325649,-1545566.79481,1923682.2555,2017,1,0
"43",7118,0.0325649,-1545566.79481,1923682.2555,2019,1,0
"44",7118,0.0325649,-1545566.79481,1923682.2555,2020,1,0
"45",7166,0.432402,-1497566.79481,1923682.2555,2017,1,0
"46",7263,0.0879915,-1648566.79481,1922682.2555,2020,1,0
"47",7356,0.438481,-1555566.79481,1922682.2555,2017,2,0
"48",7356,0.438481,-1555566.79481,1922682.2555,2018,2,0
"49",7356,0.438481,-1555566.79481,1922682.2555,2019,1,0
"50",7356,0.438481,-1555566.79481,1922682.2555,2021,6,0
"51",7358,0.256857,-1553566.79481,1922682.2555,2019,1,0
"52",7508,0.234663,-1657566.79481,1921682.2555,2018,1,0
"53",7609,0.349604,-1556566.79481,1921682.2555,2019,1,0
"54",8739,0.0196478,-1525566.79481,1917682.2555,2017,1,0
"55",9926,0.236723,-1551566.79481,1913682.2555,2017,2,0
"56",9926,0.236723,-1551566.79481,1913682.2555,2019,1,0
"57",9928,0.488308,-1549566.79481,1913682.2555,2019,1,0
"58",11344,0.0124599,-1394566.79481,1909682.2555,2019,1,0
"59",11541,0.0429955,-1538566.79481,1908682.2555,2017,1,0
"60",12571,0.0354099,-1537566.79481,1905682.2555,2017,1,0
"61",12581,0.14059,-1527566.79481,1905682.2555,2017,1,0
"62",12875,0.263381,-1587566.79481,1904682.2555,2018,1,0
"63",13236,0.0596642,-1587566.79481,1903682.2555,2018,2,0
"64",13455,0,-1368566.79481,1903682.2555,2017,1,0
"65",13455,0,-1368566.79481,1903682.2555,2018,1,0
"66",13455,0,-1368566.79481,1903682.2555,2020,1,0
"67",13838,0,-1368566.79481,1902682.2555,2018,1,0
"68",13838,0,-1368566.79481,1902682.2555,2019,1,0
"69",13911,0.0332045,-1694566.79481,1901682.2555,2021,1,0
"70",14197,0.0214376,-1408566.79481,1901682.2555,2019,1,0
"71",15473,0.0189237,-1339566.79481,1898682.2555,2019,1,0
"72",16227,0.00580838,-1405566.79481,1896682.2555,2020,1,0
"73",17067,0.0207782,-1393566.79481,1894682.2555,2020,1,0
"74",17486,0.0190333,-1395566.79481,1893682.2555,2019,1,0
"75",17488,0.0274277,-1393566.79481,1893682.2555,2017,1,0
"76",19216,0.0123586,-1396566.79481,1889682.2555,2021,1,0
"77",19697,0.12394,-1355566.79481,1888682.2555,2017,1,0
"78",19697,0.12394,-1355566.79481,1888682.2555,2018,1,0
"79",19697,0.12394,-1355566.79481,1888682.2555,2019,1,0
"80",19949,0.0554461,-1544566.79481,1887682.2555,2021,1,0
"81",20138,0.00692489,-1355566.79481,1887682.2555,2017,1,0
"82",20927,0.0476121,-1455566.79481,1885682.2555,2017,1,0
"83",22875,0.0326486,-1355566.79481,1881682.2555,2019,1,0
"84",23350,0.0312826,-1362566.79481,1880682.2555,2019,1,0
"85",23357,0.130644,-1355566.79481,1880682.2555,2018,1,0
"86",23357,0.130644,-1355566.79481,1880682.2555,2019,1,0
"87",26301,0.0172225,-1453566.79481,1874682.2555,2020,1,0
"88",26473,0.041491,-1828566.79481,1873682.2555,2018,1,0
"89",26504,0.0272907,-1792566.79481,1873682.2555,2017,1,0
"90",26690,0.0654342,-1606566.79481,1873682.2555,2018,3,0
"91",27092,0.0107139,-1752566.79481,1872682.2555,2021,1,0
"92",27179,0.041228,-1665566.79481,1872682.2555,2021,2,0
"93",27200,0.00750714,-1644566.79481,1872682.2555,2017,1,0
"94",27238,0.179471,-1606566.79481,1872682.2555,2018,2,0
"95",27243,0.0421944,-1601566.79481,1872682.2555,2018,1,0
"96",27392,0.0240858,-1452566.79481,1872682.2555,2021,2,0
"97",27456,0.426857,-1388566.79481,1872682.2555,2020,1,0
"98",27477,0.0202063,-1367566.79481,1872682.2555,2017,1,0
"99",27759,0.00411576,-1644566.79481,1871682.2555,2017,1,0
"100",27881,0.0251478,-1522566.79481,1871682.2555,2019,1,0
"101",27944,0.0297527,-1459566.79481,1871682.2555,2018,1,0
"102",28037,0.014234,-1366566.79481,1871682.2555,2020,1,0
"103",28898,1.77636e-15,-1643566.79481,1869682.2555,2017,1,0
"104",29174,0.0156016,-1367566.79481,1869682.2555,2019,1,0
"105",29749,0.00851917,-1370566.79481,1868682.2555,2017,1,0
"106",30897,0.00462691,-1377566.79481,1866682.2555,2017,1,0
"107",30898,0.0410896,-1376566.79481,1866682.2555,2019,1,0
"108",31490,0.0190833,-1377566.79481,1865682.2555,2019,1,0
"109",31497,0.0177706,-1370566.79481,1865682.2555,2019,1,0
"110",31503,0.232684,-1364566.79481,1865682.2555,2021,1,0
"111",31735,0.0665084,-1732566.79481,1864682.2555,2020,1,0
"112",32021,0.0173275,-1446566.79481,1864682.2555,2021,1,0
"113",32088,0.0198177,-1379566.79481,1864682.2555,2021,1,0
"114",32089,0.021172,-1378566.79481,1864682.2555,2019,1,0
"115",32090,0.00493605,-1377566.79481,1864682.2555,2019,2,0
"116",32090,0.00493605,-1377566.79481,1864682.2555,2021,1,0
"117",32095,0.000759406,-1372566.79481,1864682.2555,2019,1,0
"118",32102,0.326042,-1365566.79481,1864682.2555,2017,1,0
"119",33243,0.00828689,-1441566.79481,1862682.2555,2021,1,0
"120",33252,0.0274569,-1432566.79481,1862682.2555,2021,1,0
"121",33311,0.00642141,-1373566.79481,1862682.2555,2019,1,0
"122",33316,0.118761,-1368566.79481,1862682.2555,2019,1,0
"123",33934,0.0957928,-1366566.79481,1861682.2555,2021,3,0
"124",34058,0.114881,-1229566.79481,1861682.2555,2018,1,0
"125",34506,0.12674,-1423566.79481,1860682.2555,2018,1,0
"126",34667,0.18483,-1262566.79481,1860682.2555,2018,1,0
"127",35201,0.129131,-1364566.79481,1859682.2555,2017,1,0
"128",35301,0.0371569,-1264566.79481,1859682.2555,2018,1,0
"129",35922,0.178137,-1294566.79481,1858682.2555,2018,1,0
"130",35922,0.178137,-1294566.79481,1858682.2555,2019,2,0
"131",35948,0.724757,-1268566.79481,1858682.2555,2017,1,0
"132",35948,0.724757,-1268566.79481,1858682.2555,2018,1,0
"133",37105,0.0195954,-1425566.79481,1856682.2555,2021,1,0
"134",37590,0.0792476,-1601566.79481,1855682.2555,2019,1,0
"135",37870,0.0453747,-1321566.79481,1855682.2555,2021,1,0
"136",37929,0.037868,-1262566.79481,1855682.2555,2018,1,0
"137",37954,0.301265,-1237566.79481,1855682.2555,2017,1,0
"138",38437,0.0766014,-1422566.79481,1854682.2555,2018,1,0
"139",39123,0.124294,-1418566.79481,1853682.2555,2020,1,0
"140",39868,0.0190339,-1358566.79481,1852682.2555,2017,1,0
"141",39991,0.00994858,-1235566.79481,1852682.2555,2018,1,0
"142",40072,0.0202387,-1844566.79481,1851682.2555,2021,1,0
"143",40534,0.0435433,-1382566.79481,1851682.2555,2017,1,0
"144",40534,0.0435433,-1382566.79481,1851682.2555,2018,1,0
"145",41184,0.0890328,-1423566.79481,1850682.2555,2021,1,0
"146",41823,0.0334284,-1474566.79481,1849682.2555,2020,1,0
"147",43277,0.68721,-1404566.79481,1847682.2555,2017,1,0
"148",43277,0.68721,-1404566.79481,1847682.2555,2019,1,0
"149",43887,0.230617,-1485566.79481,1846682.2555,2020,1,0
"150",44107,0.0326057,-1265566.79481,1846682.2555,2018,1,0
"151",44661,0.559359,-1404566.79481,1845682.2555,2019,1,0
"152",45401,0.00990938,-1359566.79481,1844682.2555,2017,1,0
"153",46094,0,-1360566.79481,1843682.2555,2017,3,0
"154",46094,0,-1360566.79481,1843682.2555,2018,1,0
"155",46094,0,-1360566.79481,1843682.2555,2019,2,0
"156",46094,0,-1360566.79481,1843682.2555,2021,2,0
"157",46676,0.0397271,-1471566.79481,1842682.2555,2020,1,0
"158",46805,0.300672,-1342566.79481,1842682.2555,2020,2,0
"159",47796,0.0559007,-1734566.79481,1840682.2555,2019,1,0
"160",49011,0.0105503,-1209566.79481,1839682.2555,2018,2,0
"161",49447,0.00613856,-1463566.79481,1838682.2555,2018,1,0
"162",49513,0.0327954,-1397566.79481,1838682.2555,2017,1,0
"163",49513,0.0327954,-1397566.79481,1838682.2555,2019,3,0
"164",49513,0.0327954,-1397566.79481,1838682.2555,2020,1,0
"165",49513,0.0327954,-1397566.79481,1838682.2555,2021,1,0
"166",50610,0.00993868,-1681566.79481,1836682.2555,2019,1,0
"167",50922,0.283712,-1369566.79481,1836682.2555,2018,1,0
"168",50942,1.77636e-15,-1349566.79481,1836682.2555,2020,1,0
"169",51616,0.0283651,-1364566.79481,1835682.2555,2018,1,0
"170",51720,0.0793469,-1260566.79481,1835682.2555,2020,1,0
"171",52219,0.187032,-1448566.79481,1834682.2555,2020,1,0
"172",52271,0.045338,-1396566.79481,1834682.2555,2017,10,0
"173",52271,0.045338,-1396566.79481,1834682.2555,2018,11,0
"174",52271,0.045338,-1396566.79481,1834682.2555,2020,7,0
"175",52271,0.045338,-1396566.79481,1834682.2555,2021,4,0
"176",52302,0.0269508,-1365566.79481,1834682.2555,2019,1,0
"177",52905,0.0655851,-1450566.79481,1833682.2555,2020,1,0
"178",53596,0.0658051,-1455566.79481,1832682.2555,2020,1,0
"179",53626,0.156574,-1425566.79481,1832682.2555,2021,1,0
"180",53696,0.138542,-1355566.79481,1832682.2555,2020,1,0
"181",53839,0.0301358,-1212566.79481,1832682.2555,2017,1,0
"182",53839,0.0301358,-1212566.79481,1832682.2555,2018,1,0
"183",53839,0.0301358,-1212566.79481,1832682.2555,2021,1,0
"184",56609,0.142028,-1272566.79481,1828682.2555,2020,1,0
"185",57419,0.162566,-1176566.79481,1827682.2555,2019,1,0
"186",57420,0.00488761,-1175566.79481,1827682.2555,2021,1,0
"187",57880,0.00901522,-1435566.79481,1826682.2555,2017,2,0
"188",57880,0.00901522,-1435566.79481,1826682.2555,2021,2,0
"189",58677,0.163641,-1358566.79481,1825682.2555,2017,1,0
"190",58828,0.0796761,-1207566.79481,1825682.2555,2018,1,0
"191",58861,0.0543633,-1174566.79481,1825682.2555,2021,1,0
"192",59331,0.0986515,-1425566.79481,1824682.2555,2019,1,0
"193",59492,0.0251201,-1264566.79481,1824682.2555,2017,1,0
"194",59492,0.0251201,-1264566.79481,1824682.2555,2018,1,0
"195",59492,0.0251201,-1264566.79481,1824682.2555,2019,2,0
"196",60045,0.019898,-1433566.79481,1823682.2555,2017,1,0
"197",60272,0.807552,-1206566.79481,1823682.2555,2018,1,0
"198",60315,0.085776,-1163566.79481,1823682.2555,2021,1,0
"199",60882,0.146246,-1321566.79481,1822682.2555,2018,1,0
"200",61041,0.0188915,-1162566.79481,1822682.2555,2019,2,0
"201",61473,0.201079,-1456566.79481,1821682.2555,2019,1,0
"202",61494,0.0142098,-1435566.79481,1821682.2555,2019,1,0
"203",61494,0.0142098,-1435566.79481,1821682.2555,2020,1,0
"204",61495,0.0183625,-1434566.79481,1821682.2555,2021,1,0
"205",61763,0.0275662,-1166566.79481,1821682.2555,2017,2,0
"206",62246,0.38402,-1411566.79481,1820682.2555,2021,1,0
"207",62477,0.0525045,-1180566.79481,1820682.2555,2019,1,0
"208",62477,0.0525045,-1180566.79481,1820682.2555,2020,1,0
"209",62483,0.0575493,-1174566.79481,1820682.2555,2018,1,0
"210",62938,0.285821,-1449566.79481,1819682.2555,2019,4,0
"211",62938,0.285821,-1449566.79481,1819682.2555,2020,8,0
"212",62938,0.285821,-1449566.79481,1819682.2555,2021,8,0
"213",62946,0.0117633,-1441566.79481,1819682.2555,2020,3,0
"214",62949,0.0206346,-1438566.79481,1819682.2555,2019,1,0
"215",62953,0.0241189,-1434566.79481,1819682.2555,2017,5,0
"216",62953,0.0241189,-1434566.79481,1819682.2555,2018,3,0
"217",62953,0.0241189,-1434566.79481,1819682.2555,2019,10,0
"218",62953,0.0241189,-1434566.79481,1819682.2555,2020,9,0
"219",62953,0.0241189,-1434566.79481,1819682.2555,2021,15,0
